ticker,company_name,sector,quantity,buy_price,current_price
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,9,261.21,414.12
QCOM,Qualcomm Inc,Technology,21,460.8,581.48
ZTS,Zoetis Inc,Healthcare,39,263.08,324.01
ORLY,O'Reilly Automotive Inc,Consumer Discretionary,67,162.71,265.15
AMAT2,Applied Materials Inc,Technology,14,281.42,392.81
MU,Micron Technology Inc,Technology,23,285.78,416.44
SIRI,Sirius XM Holdings Inc,Communication Services,16,278.2,342.21
JNJ2,Johnson & Johnson,Healthcare,19,119.21,167.62
META3,Meta Platforms Inc,Communication Services,93,348.79,436.25
GOOGL4,Alphabet Inc,Technology,30,136.02,163.29
ABT3,Abbott Laboratories,Healthcare,15,266.67,330.7
META4,Meta Platforms Inc,Technology,19,437.14,621.54
NVDA3,NVIDIA Corp,Technology,8,261.3,354.6
SBUX2,Starbucks Corp,Consumer Discretionary,24,183.26,254.89
ABBV2,AbbVie Inc,Healthcare,51,255.95,310.26
CHTR,Charter Communications Inc,Communication Services,37,88.6,106.37
HAL,Halliburton Co,Energy,28,63.08,71.94
ADBE3,Adobe Inc,Technology,78,115.57,165.1
ETR,Entergy Corp,Utilities,21,56.38,69.49
F,Ford Motor Co,Consumer Discretionary,42,269.61,366.1
FOX,Fox Corp Class B,Communication Services,39,202.91,235.7
CSX,CSX Corp,Industrials,13,83.66,107.02
NSC,Norfolk Southern Corp,Industrials,131,147.69,191.17
BDX,Becton Dickinson and Co,Healthcare,38,271.01,261.71
OMC,Omnicom Group Inc,Communication Services,37,65.41,74.35
BSX2,Boston Scientific Corp,Healthcare,59,327.87,429.65
LRCX2,Lam Research Corp,Technology,15,329.03,450.96
AAPL,Apple Inc,Technology,14,267.51,388.42
MSFT,Microsoft Corp,Technology,191,344.59,560.99
PEP,PepsiCo Inc,Consumer Staples,31,194.1,191.97
MA,Mastercard Inc,Financials,36,288.74,423.91
GE2,General Electric Co,Industrials,117,228.69,278.58
PM,Philip Morris International Inc,Consumer Staples,79,110.23,141.76
T,AT&T Inc,Communication Services,82,139.55,149.77
AVGO,Broadcom Inc,Technology,117,295.6,394.39
CL,Colgate-Palmolive Co,Consumer Staples,41,197.12,226.03
CRM,Salesforce Inc,Technology,12,458.3,633.82
ADBE4,Adobe Inc,Technology,51,158.59,205.37
GILD2,Gilead Sciences Inc,Healthcare,37,344.94,387.85
SCHW2,Charles Schwab Corp,Financials,67,68.4,82.7
CI2,Cigna Group The,Healthcare,21,154.51,157.48
HUM,Humana Inc,Healthcare,8,297.98,400.51
TXN3,Texas Instruments Inc,Technology,77,452.26,602.35
INTU,Intuit Inc,Technology,43,214.9,292.77
KR,Kroger Co The,Consumer Staples,16,200.35,212.99
NOC,Northrop Grumman Corp,Industrials,5,285.46,370.08
ISRG,Intuitive Surgical Inc,Healthcare,13,359.13,462.12
BRK.B,Berkshire Hathaway Inc,Financials,21,196.72,285.35
META5,Meta Platforms Inc,Communication Services,33,242.39,298.21
V,Visa Inc,Financials,81,250.29,319.45
DIS,Walt Disney Co,Communication Services,24,265.58,293.55
META6,Meta Platforms Inc,Technology,50,369.76,553.58
LOW,Lowe's Cos Inc,Consumer Discretionary,22,197.87,255.44
MRK,Merck & Co Inc,Healthcare,20,110.52,147.51
BA,Boeing Co The,Industrials,29,81.5,87.57
ORCL2,Oracle Corp,Technology,37,231.85,327.02
BKNG,Booking Holdings Inc,Consumer Discretionary,50,182.25,276.21
ADBE5,Adobe Inc,Technology,109,163.89,220.16
ETN,Eaton Corp plc,Industrials,26,220.52,243.7
INTC2,Intel Corp,Technology,18,482.94,613.42
AMD2,AMD Inc,Technology,101,465.12,601.09
NWS,News Corp Class A,Communication Services,35,228.74,258.5
UDR,UDR Inc,Real Estate,66,104.27,129.29
SYY2,Sysco Corp,Consumer Staples,79,161.97,157.39
SYK2,Stryker Corp,Healthcare,28,297.69,366.71
MU2,Micron Technology Inc,Technology,13,278.19,390.91
MCO2,Moody's Corp,Financials,46,186.62,327.92
AAPL2,Apple Inc,Technology,11,108.71,160.13
JPM,JPMorgan Chase & Co,Financials,117,222.1,318.79
CCI,Crown Castle Inc,Real Estate,8,93.06,125.73
MA2,Mastercard Inc,Financials,6,229.62,287.98
BAC,Bank of America Corp,Financials,27,156.62,210.19
RTX,RTX Corp,Industrials,27,292.11,302.79
SBUX3,Starbucks Corp,Consumer Discretionary,27,392.77,639.31
ABBV3,AbbVie Inc,Healthcare,16,215.72,249.23
ORCL3,Oracle Corp,Technology,392,162.05,200.87
BKNG2,Booking Holdings Inc,Consumer Discretionary,7,362.27,452.99
MAR,Marriott International Inc,Consumer Discretionary,65,211.79,278.39
NFLX2,Netflix Inc,Technology,41,117.69,177.99
INTC3,Intel Corp,Technology,127,410.43,519.32
ESS,Essex Property Trust Inc,Real Estate,58,136.62,187.96
PGR2,Progressive Corp The,Financials,34,267.83,328.46
TXN4,Texas Instruments Inc,Technology,53,210.06,308.98
MMC,Marsh & McLennan Cos,Financials,35,85.53,114.06
AZO,AutoZone Inc,Consumer Discretionary,23,177.1,245.2
DISH,DISH Network Corp,Communication Services,23,258.89,298.43
NRG,NRG Energy Inc,Utilities,13,99.17,105.09
AAPL3,Apple Inc,Technology,25,123.05,173.59
CVX,Chevron Corp,Energy,25,102.15,98.36
GOOGL5,Alphabet Inc,Technology,44,279.91,458.29
ABT4,Abbott Laboratories,Healthcare,38,96.49,99.47
META7,Meta Platforms Inc,Technology,47,129.11,202.97
NVDA4,NVIDIA Corp,Technology,73,186.81,253.07
LMT,Lockheed Martin Corp,Industrials,6,279.98,337.41
TGT2,Target Corp,Consumer Discretionary,52,313.94,428.3
C2,Citigroup Inc,Financials,18,102.23,171.84
ED,Consolidated Edison Inc,Utilities,6,111.36,150.88
AMGN,Amgen Inc,Healthcare,119,229.12,259.87
NFLX3,Netflix Inc,Technology,25,228.09,330.78
HSY2,Hershey Co The,Consumer Staples,49,224.18,265.07
CB,Chubb Limited,Financials,13,116.75,136.07
NWS2,News Corp Class A,Communication Services,82,123.72,121.91
CNP,CenterPoint Energy Inc,Utilities,107,123.97,154.37
ORLY2,O'Reilly Automotive Inc,Consumer Discretionary,26,216.68,313.99
AMAT3,Applied Materials Inc,Technology,123,318.62,507.0
AR,Antero Resources Corp,Energy,40,174.25,203.48
LRCX3,Lam Research Corp,Technology,31,160.41,231.55
AAPL4,Apple Inc,Technology,29,355.09,567.32
JPM2,JPMorgan Chase & Co,Financials,18,227.77,277.79
HD2,Home Depot Inc,Consumer Discretionary,110,297.27,404.89
MCD,McDonald's Corp,Consumer Discretionary,19,141.93,205.66
CMCSA,Comcast Corp,Communication Services,106,288.48,331.82
LOW2,Lowe's Cos Inc,Consumer Discretionary,6,142.69,206.55
TSLA2,Tesla Inc,Technology,40,132.25,154.95
ABBV4,AbbVie Inc,Healthcare,30,209.69,235.91
DE,Deere & Co,Industrials,125,234.63,277.74
MMM,3M Co,Industrials,69,152.88,243.41
AMGN2,Amgen Inc,Healthcare,37,368.41,430.7
GILD3,Gilead Sciences Inc,Healthcare,17,375.73,374.49
HSY3,Hershey Co The,Consumer Staples,20,185.04,200.5
AMD3,AMD Inc,Technology,76,428.28,670.83
QCOM2,Qualcomm Inc,Technology,146,325.58,499.48
TXN5,Texas Instruments Inc,Technology,159,316.22,460.79
ORLY3,O'Reilly Automotive Inc,Consumer Discretionary,55,294.37,441.13
AMAT4,Applied Materials Inc,Technology,7,139.07,197.34
NOC2,Northrop Grumman Corp,Industrials,86,215.05,232.95
CHK,Chesapeake Energy Corp,Energy,30,141.46,180.55
BRK.B2,Berkshire Hathaway Inc,Financials,11,183.79,253.49
UNH2,UnitedHealth Group Inc,Healthcare,22,201.62,260.57
PFE,Pfizer Inc,Healthcare,15,103.52,133.99
D,Dominion Energy Inc,Utilities,26,56.97,66.96
COST,Costco Wholesale Corp,Consumer Staples,49,239.16,278.8
NVDA5,NVIDIA Corp,Technology,38,134.92,171.74
TSLA3,Tesla Inc,Technology,39,141.32,200.26
XEL,Xcel Energy Inc,Utilities,10,126.29,130.47
ORCL4,Oracle Corp,Technology,15,411.67,538.33
BMY3,Bristol-Myers Squibb Co,Healthcare,21,299.3,369.39
TTWO,Take-Two Interactive Software Inc,Communication Services,21,93.78,130.73
GM,General Motors Co,Consumer Discretionary,32,326.11,449.34
F2,Ford Motor Co,Consumer Discretionary,10,215.67,249.18
APA,APA Corp,Energy,80,174.66,196.92
QCOM3,Qualcomm Inc,Technology,55,272.25,352.63
AON,Aon plc,Financials,55,118.11,159.58
INTU2,Intuit Inc,Technology,12,171.05,232.13
AMAT5,Applied Materials Inc,Technology,58,353.16,569.78
BSX3,Boston Scientific Corp,Healthcare,5,169.7,204.08
CVS,CVS Health Corp,Consumer Staples,71,65.11,70.71
BRK.B3,Berkshire Hathaway Inc,Financials,114,247.4,345.25
JPM3,JPMorgan Chase & Co,Financials,22,76.19,102.05
UPS,United Parcel Service Inc,Industrials,27,173.09,192.52
FCX,Freeport-McMoRan Inc,Materials,29,166.45,222.31
BAC2,Bank of America Corp,Financials,95,291.79,381.46
ECL,Ecolab Inc,Materials,11,232.88,299.82
TSLA4,Tesla Inc,Technology,42,166.54,238.28
AVGO2,Broadcom Inc,Technology,10,358.7,454.71
LLY2,Eli Lilly and Co,Healthcare,7,113.9,124.44
CRM2,Salesforce Inc,Technology,17,323.2,437.31
TTWO2,Take-Two Interactive Software Inc,Communication Services,45,188.92,210.96
ETN2,Eaton Corp plc,Industrials,53,299.49,346.35
HSY4,Hershey Co The,Consumer Staples,34,125.18,135.15
HLT2,Hilton Worldwide Holdings Inc,Consumer Discretionary,30,93.19,120.04
MLM,Martin Marietta Materials Inc,Materials,12,58.94,73.43
NSC2,Norfolk Southern Corp,Industrials,34,104.06,130.53
MMC2,Marsh & McLennan Cos,Financials,25,126.06,165.5
CTRA,Coterra Energy Inc,Energy,47,140.76,146.94
WBA,Walgreens Boots Alliance Inc,Consumer Staples,29,200.1,186.9
LRCX4,Lam Research Corp,Technology,11,101.78,117.33
BRK.B4,Berkshire Hathaway Inc,Financials,80,246.96,319.49
DUK,Duke Energy Corp,Utilities,6,80.24,73.44
GOOGL6,Alphabet Inc,Technology,21,295.79,440.01
DIS2,Walt Disney Co,Communication Services,22,167.76,174.15
META8,Meta Platforms Inc,Technology,48,169.01,252.95
WELL,Welltower Inc,Real Estate,14,96.98,110.21
TSLA5,Tesla Inc,Technology,45,156.54,234.19
TGT3,Target Corp,Consumer Discretionary,62,203.83,280.37
LLY3,Eli Lilly and Co,Healthcare,17,377.82,491.41
HAL2,Halliburton Co,Energy,112,69.94,82.07
FE,FirstEnergy Corp,Utilities,16,144.7,208.33
ETN3,Eaton Corp plc,Industrials,25,203.55,241.41
SCHW3,Charles Schwab Corp,Financials,11,224.64,279.54
CLX,Clorox Co The,Consumer Staples,8,211.22,249.21
QCOM4,Qualcomm Inc,Technology,32,326.26,459.45
NWSA,News Corp Class B,Communication Services,41,221.81,233.01
INTU3,Intuit Inc,Technology,16,404.0,591.06
CTRA2,Coterra Energy Inc,Energy,13,157.76,179.6
BSX4,Boston Scientific Corp,Healthcare,56,355.9,444.92
MCO3,Moody's Corp,Financials,118,231.78,382.3
HON,Honeywell International Inc,Industrials,87,174.2,235.03
MSFT2,Microsoft Corp,Technology,17,312.91,380.28
GOOGL7,Alphabet Inc,Technology,29,480.96,631.6
ABT5,Abbott Laboratories,Healthcare,45,168.74,168.39
BAC3,Bank of America Corp,Financials,27,78.02,117.0
DHR,Danaher Corp,Healthcare,27,282.37,373.29
TSLA6,Tesla Inc,Technology,19,417.84,557.92
XEL2,Xcel Energy Inc,Utilities,29,116.42,136.94
ORCL5,Oracle Corp,Technology,201,332.78,452.93
CRM3,Salesforce Inc,Technology,32,418.27,567.34
BLK,BlackRock Inc,Financials,95,113.73,167.28
K2,Kellogg Co,Consumer Staples,13,63.09,78.92
INVH,Invitation Homes Inc,Real Estate,70,198.78,274.13
VMC,Vulcan Materials Co,Materials,13,224.88,298.61
MRO,Marathon Oil Corp,Energy,41,53.19,68.95
TXN6,Texas Instruments Inc,Technology,61,350.24,505.98
ORLY4,O'Reilly Automotive Inc,Consumer Discretionary,21,91.01,120.5
KR2,Kroger Co The,Consumer Staples,30,172.8,186.91
MU3,Micron Technology Inc,Technology,166,237.43,322.95
MCO4,Moody's Corp,Financials,13,164.2,222.42
JNJ3,Johnson & Johnson,Healthcare,60,175.76,226.59
UNP2,Union Pacific Corp,Industrials,39,95.05,104.52
GOOGL8,Alphabet Inc,Technology,44,240.48,347.99
MA3,Mastercard Inc,Financials,18,96.48,133.93
META9,Meta Platforms Inc,Technology,20,392.0,476.05
RTX2,RTX Corp,Industrials,13,134.51,157.25
PSX,Phillips 66,Energy,11,155.39,162.56
TMUS,T-Mobile US Inc,Communication Services,83,106.59,116.69
DE2,Deere & Co,Industrials,26,254.63,287.08
CRM4,Salesforce Inc,Technology,25,355.23,486.89
AMGN3,Amgen Inc,Healthcare,26,203.79,239.94
ATVI,Activision Blizzard Inc,Communication Services,37,101.83,122.32
INTC4,Intel Corp,Technology,92,186.3,294.73
FOX2,Fox Corp Class B,Communication Services,62,135.95,180.7
QCOM5,Qualcomm Inc,Technology,35,260.91,346.47
AON2,Aon plc,Financials,16,61.74,86.3
MMC3,Marsh & McLennan Cos,Financials,58,192.47,275.33
ICE,Intercontinental Exchange Inc,Financials,74,120.64,162.24
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary,8,143.12,197.11
SIRI2,Sirius XM Holdings Inc,Communication Services,43,66.51,80.66
JNJ4,Johnson & Johnson,Healthcare,21,84.05,74.35
MSFT3,Microsoft Corp,Technology,16,429.0,645.41
HD3,Home Depot Inc,Consumer Discretionary,22,356.98,533.95
DIS3,Walt Disney Co,Communication Services,32,207.16,235.52
CMCSA2,Comcast Corp,Communication Services,19,66.63,88.18
VZ,Verizon Communications Inc,Communication Services,43,282.0,363.18
T2,AT&T Inc,Communication Services,12,272.23,358.67
AVGO3,Broadcom Inc,Technology,141,468.09,586.03
TJX,TJX Cos Inc,Consumer Discretionary,8,282.94,472.65
AXP,American Express Co,Financials,42,188.6,219.76
ADBE6,Adobe Inc,Technology,11,189.27,234.57
NFLX4,Netflix Inc,Technology,57,450.8,673.12
SCHW4,Charles Schwab Corp,Financials,25,62.46,95.98
CLX2,Clorox Co The,Consumer Staples,18,209.06,247.6
PGR3,Progressive Corp The,Financials,136,292.68,405.4
TXN7,Texas Instruments Inc,Technology,60,318.62,402.31
SYY3,Sysco Corp,Consumer Staples,58,61.82,73.03
GD,General Dynamics Corp,Industrials,1,242.38,276.68
MU4,Micron Technology Inc,Technology,24,489.02,637.39
LRCX5,Lam Research Corp,Technology,10,192.59,271.86
AAPL5,Apple Inc,Technology,41,283.38,431.08
UNH3,UnitedHealth Group Inc,Healthcare,37,283.91,332.72
NFLX5,Netflix Inc,Communication Services,4,248.73,318.12
DIS4,Walt Disney Co,Communication Services,65,327.81,380.5
META10,Meta Platforms Inc,Technology,50,281.1,347.41
WFC,Wells Fargo & Co,Financials,24,67.47,85.57
MRK2,Merck & Co Inc,Healthcare,29,194.65,231.11
TGT4,Target Corp,Consumer Discretionary,60,349.84,517.44
ORCL6,Oracle Corp,Technology,6,381.88,657.25
AXP2,American Express Co,Financials,13,291.78,422.0
BLK2,BlackRock Inc,Financials,39,253.22,353.82
NFLX6,Netflix Inc,Technology,52,137.89,217.0
CVS2,CVS Health Corp,Healthcare,20,99.73,113.26
FOX3,Fox Corp Class B,Communication Services,138,170.17,210.96
AES2,AES Corp The,Utilities,10,48.25,50.36
NSC3,Norfolk Southern Corp,Industrials,23,258.05,346.1
ORLY5,O'Reilly Automotive Inc,Consumer Discretionary,28,228.68,345.68
AMAT6,Applied Materials Inc,Technology,30,463.32,613.21
MU5,Micron Technology Inc,Technology,49,345.64,486.45
MCO5,Moody's Corp,Financials,13,269.52,346.31
AAPL6,Apple Inc,Technology,57,267.69,364.89
JPM4,JPMorgan Chase & Co,Financials,11,298.46,359.25
PEP2,PepsiCo Inc,Consumer Staples,59,195.54,209.81
AMZN2,Amazon.com Inc,Technology,37,326.26,426.5
SLB,Schlumberger Limited,Energy,73,169.71,216.94
NVDA6,NVIDIA Corp,Technology,21,242.97,333.92
GS2,Goldman Sachs Group Inc,Financials,41,104.44,129.67
EL,Estee Lauder Cos Inc,Consumer Staples,140,200.04,218.14
PPG,PPG Industries Inc,Materials,18,246.53,311.21
HAL3,Halliburton Co,Energy,20,90.88,103.01
MAR2,Marriott International Inc,Consumer Discretionary,36,299.17,458.49
ETN4,Eaton Corp plc,Industrials,35,288.64,316.65
HSY5,Hershey Co The,Consumer Staples,38,67.21,82.95
AMD4,AMD Inc,Technology,74,291.2,393.32
QCOM6,Qualcomm Inc,Technology,45,236.3,354.28
CMCSA3,Comcast Corp,Consumer Discretionary,27,97.71,145.33
INTU4,Intuit Inc,Technology,39,381.82,521.26
ICE2,Intercontinental Exchange Inc,Financials,58,123.88,185.32
CME2,CME Group Inc,Financials,14,206.21,273.6
LHX,L3Harris Technologies Inc,Industrials,42,203.64,243.65
JNJ5,Johnson & Johnson,Healthcare,17,292.97,321.98
UNH4,UnitedHealth Group Inc,Healthcare,64,174.25,200.8
GOOGL9,Alphabet Inc,Technology,17,408.33,572.77
MCD2,McDonald's Corp,Consumer Discretionary,41,334.99,436.72
PSA,Public Storage,Real Estate,13,124.43,166.77
MPC2,Marathon Petroleum Corp,Energy,78,91.12,127.22
MO,Altria Group Inc,Consumer Staples,9,123.79,155.03
AVGO4,Broadcom Inc,Technology,45,240.19,331.1
ORCL7,Oracle Corp,Technology,15,275.29,356.73
CRM5,Salesforce Inc,Technology,12,452.71,629.01
ADBE7,Adobe Inc,Technology,52,415.49,554.14
SPGI,S&P Global Inc,Financials,22,157.33,199.98
SCHW5,Charles Schwab Corp,Financials,25,128.87,162.41
AMD5,AMD Inc,Technology,13,342.93,498.08
CSX2,CSX Corp,Industrials,89,294.37,421.97
KDP,Keurig Dr Pepper Inc,Consumer Staples,24,162.62,155.76
BDX2,Becton Dickinson and Co,Healthcare,32,205.73,297.92
AZO2,AutoZone Inc,Consumer Discretionary,108,61.3,84.22
BSX5,Boston Scientific Corp,Healthcare,10,233.71,268.99
YUM,Yum! Brands Inc,Consumer Discretionary,22,392.2,583.98
AAPL7,Apple Inc,Technology,25,206.0,295.87
JPM5,JPMorgan Chase & Co,Financials,10,139.18,195.11
SO,Southern Co The,Utilities,36,68.97,83.03
AMZN3,Amazon.com Inc,Technology,110,378.59,523.77
NEM,Newmont Corp,Materials,22,132.8,159.74
PM2,Philip Morris International Inc,Consumer Staples,134,133.55,173.37
TSLA7,Tesla Inc,Technology,12,194.26,258.35
MS2,Morgan Stanley,Financials,34,49.03,59.78
TJX2,TJX Cos Inc,Consumer Discretionary,101,394.14,571.51
BMY4,Bristol-Myers Squibb Co,Healthcare,20,383.7,401.12
BLK3,BlackRock Inc,Financials,45,51.1,65.56
ATVI2,Activision Blizzard Inc,Communication Services,40,296.77,402.99
ITW,Illinois Tool Works Inc,Industrials,9,239.96,269.31
PH,Parker-Hannifin Corp,Industrials,45,201.45,270.8
NWS3,News Corp Class A,Communication Services,57,53.71,65.63
CMCSA4,Comcast Corp,Consumer Discretionary,41,98.26,149.18
INTU5,Intuit Inc,Technology,12,485.93,661.72
AMAT7,Applied Materials Inc,Technology,15,328.81,412.75
MU6,Micron Technology Inc,Technology,26,347.3,496.85
ISRG2,Intuitive Surgical Inc,Healthcare,10,361.27,382.77
JNJ6,Johnson & Johnson,Healthcare,11,165.95,173.81
PLD,Prologis Inc,Real Estate,157,96.64,115.84
GOOGL10,Alphabet Inc,Technology,11,489.0,645.48
AMZN4,Amazon.com Inc,Technology,73,409.61,614.44
TMO,Thermo Fisher Scientific Inc,Healthcare,86,108.57,137.31
VZ2,Verizon Communications Inc,Communication Services,27,195.34,262.3
SRE,Sempra,Utilities,53,127.06,148.6
TGT5,Target Corp,Consumer Discretionary,37,325.38,447.54
CHTR2,Charter Communications Inc,Communication Services,12,312.55,437.21
IFF,International Flavors & Fragrances Inc,Materials,30,89.82,116.94
ADBE8,Adobe Inc,Technology,16,469.23,644.41
FANG,Diamondback Energy Inc,Energy,30,111.38,120.78
SCHW6,Charles Schwab Corp,Financials,4,129.5,168.87
PH2,Parker-Hannifin Corp,Industrials,53,99.89,97.66
MLM2,Martin Marietta Materials Inc,Materials,10,94.27,104.28
KDP2,Keurig Dr Pepper Inc,Consumer Staples,31,157.52,178.76
MMC4,Marsh & McLennan Cos,Financials,12,85.03,113.54
AMAT8,Applied Materials Inc,Technology,49,477.2,721.61
NOC3,Northrop Grumman Corp,Industrials,30,277.01,319.69
YUM2,Yum! Brands Inc,Consumer Discretionary,49,162.73,240.38
AAPL8,Apple Inc,Technology,40,102.94,157.72
META11,Meta Platforms Inc,Communication Services,31,134.8,125.24
NFLX7,Netflix Inc,Communication Services,13,132.94,163.29
D2,Dominion Energy Inc,Utilities,13,144.74,135.19
META12,Meta Platforms Inc,Technology,27,196.12,283.93
VZ3,Verizon Communications Inc,Communication Services,32,91.98,129.59
TSLA8,Tesla Inc,Technology,72,462.76,504.31
ABBV5,AbbVie Inc,Healthcare,15,398.32,539.3
LLY4,Eli Lilly and Co,Healthcare,18,299.62,387.14
CRM6,Salesforce Inc,Technology,8,243.4,380.5
AMGN4,Amgen Inc,Healthcare,28,258.64,323.43
GM2,General Motors Co,Consumer Discretionary,161,306.56,478.63
SCHW7,Charles Schwab Corp,Financials,79,97.79,133.15
APA2,APA Corp,Energy,41,181.89,199.08
MRO2,Marathon Oil Corp,Energy,51,58.85,65.32
TXN8,Texas Instruments Inc,Technology,20,348.26,516.85
NI,NiSource Inc,Utilities,13,114.88,124.53
KR3,Kroger Co The,Consumer Staples,25,88.65,103.27
MU7,Micron Technology Inc,Technology,80,280.82,337.54
LHX2,L3Harris Technologies Inc,Industrials,51,114.86,160.68
AAPL9,Apple Inc,Technology,27,273.48,392.57
META13,Meta Platforms Inc,Communication Services,34,51.4,60.47
GOOGL11,Alphabet Inc,Technology,24,101.65,149.76
AMZN5,Amazon.com Inc,Technology,102,301.33,382.65
CMCSA5,Comcast Corp,Communication Services,24,206.09,244.96
NVDA7,NVIDIA Corp,Technology,31,153.52,211.52
SBUX4,Starbucks Corp,Consumer Discretionary,33,116.06,191.46
ABBV6,AbbVie Inc,Healthcare,20,307.56,419.41
TJX3,TJX Cos Inc,Consumer Discretionary,37,322.22,444.39
BKNG3,Booking Holdings Inc,Consumer Discretionary,30,96.76,139.75
GIS,General Mills Inc,Consumer Staples,9,108.02,127.18
NFLX8,Netflix Inc,Technology,10,103.72,128.88
F3,Ford Motor Co,Consumer Discretionary,11,271.75,322.35
AMD6,AMD Inc,Technology,8,304.63,400.88
HUM2,Humana Inc,Healthcare,91,239.28,327.24
TXN9,Texas Instruments Inc,Technology,69,263.9,355.65
MMC5,Marsh & McLennan Cos,Financials,40,218.93,288.16
ICE3,Intercontinental Exchange Inc,Financials,157,286.86,389.26
DISH2,DISH Network Corp,Communication Services,23,187.03,221.08
LRCX6,Lam Research Corp,Technology,70,425.27,518.86
HON2,Honeywell International Inc,Industrials,8,228.89,269.23
MSFT4,Microsoft Corp,Technology,77,231.46,312.71
HD4,Home Depot Inc,Consumer Discretionary,25,309.24,454.76
ABT6,Abbott Laboratories,Healthcare,146,208.08,232.99
COST2,Costco Wholesale Corp,Consumer Staples,62,150.87,129.59
DHR2,Danaher Corp,Healthcare,31,122.4,179.86
TSLA9,Tesla Inc,Technology,88,275.27,378.78
ABBV7,AbbVie Inc,Healthcare,31,356.02,481.88
O,Realty Income Corp,Real Estate,37,183.14,254.85
IFF2,International Flavors & Fragrances Inc,Materials,36,194.75,239.01
AMGN5,Amgen Inc,Healthcare,60,277.84,334.37
ETN5,Eaton Corp plc,Industrials,132,226.02,255.85
INTC5,Intel Corp,Technology,33,104.66,173.28
AMD7,AMD Inc,Technology,55,298.33,378.65
MRO3,Marathon Oil Corp,Energy,33,92.94,125.85
ZTS2,Zoetis Inc,Healthcare,11,201.16,282.06
CPT,Camden Property Trust,Real Estate,33,135.96,246.13
OMC2,Omnicom Group Inc,Communication Services,10,344.2,443.12
MU8,Micron Technology Inc,Technology,112,114.33,167.36
LHX3,L3Harris Technologies Inc,Industrials,9,224.01,285.05
HON3,Honeywell International Inc,Industrials,12,259.65,285.56
MSFT5,Microsoft Corp,Technology,23,339.98,404.66
COP,ConocoPhillips,Energy,11,55.59,63.04
CAT2,Caterpillar Inc,Industrials,36,219.41,233.52
